Location,Crime,Total cases,Year
Barcelona,Intentional homicides and consummated murders,36,2021
Barcelona,Intentional homicides and attempted murders,137,2021
Barcelona,Serious and less serious crimes of injuries and riotous brawl,2161,2021
Barcelona,Kidnapping,80000,2021
Barcelona,Crimes against freedom and sexual indemnity,2406,2021
Barcelona,Sexual assault with penetration,436,2021
Barcelona,Other crimes against freedom and sexual indemnity,1970,2021
Barcelona,Robbery with violence and intimidation,18360,2021
Barcelona,Burglaries with force in homes,16743,2021
Barcelona,Robberies with force in homes,10697,2021
Barcelona,Theft,97043,2021
Barcelona,Vehicle theft,5074,2021
Barcelona,Drug trafficking,2833,2021
Barcelona,Other criminal offenses,152565,2021
Madrid,Intentional homicides and consummated murders,37,2021
Madrid,Intentional homicides and attempted murders,94,2021
Madrid,Serious and less serious crimes of injuries and riotous brawl,2717,2021
Madrid,Kidnapping,1300,2021
Madrid,Crimes against freedom and sexual indemnity,2420,2021
Madrid,Sexual assault with penetration,274,2021
Madrid,Other crimes against freedom and sexual indemnity,2146,2021
Madrid,Robbery with violence and intimidation,12153,2021
Madrid,Burglaries with force in homes,12262,2021
Madrid,Robberies with force in homes,8243,2021
Madrid,Theft,108778,2021
Madrid,Vehicle theft,6922,2021
Madrid,Drug trafficking,2502,2021
Madrid,Other criminal offenses,197970,2021
Valencia,Intentional homicides and consummated murders,22,2021
Valencia,Intentional homicides and attempted murders,65,2021
Valencia,Serious and less serious crimes of injuries and riotous brawl,1241,2021
Valencia,Kidnapping,2,2021
Valencia,Crimes against freedom and sexual indemnity,1081,2021
Valencia,Sexual assault with penetration,124,2021
Valencia,Other crimes against freedom and sexual indemnity,957,2021
Valencia,Robbery with violence and intimidation,3063,2021
Valencia,Burglaries with force in homes,7018,2021
Valencia,Robberies with force in homes,6054,2021
Valencia,Theft,34443,2021
Valencia,Vehicle theft,1338,2021
Valencia,Drug trafficking,904,2021
Valencia,Other criminal offenses,74380,2021
Murcia,Intentional homicides and consummated murders,14,2021
Murcia,Intentional homicides and attempted murders,46,2021
Murcia,Serious and less serious crimes of injuries and riotous brawl,863,2021
Murcia,Kidnapping,3000,2021
Murcia,Crimes against freedom and sexual indemnity,613,2021
Murcia,Sexual assault with penetration,61,2021
Murcia,Other crimes against freedom and sexual indemnity,552,2021
Murcia,Robbery with violence and intimidation,1375,2021
Murcia,Burglaries with force in homes,4701,2021
Murcia,Robberies with force in homes,3793,2021
Murcia,Theft,11925,2021
Murcia,Vehicle theft,666,2021
Murcia,Drug trafficking,506,2021
Murcia,Other criminal offenses,37088,2021
Seville,Intentional homicides and consummated murders,8,2021
Seville,Intentional homicides and attempted murders,57,2021
Seville,Serious and less serious crimes of injuries and riotous brawl,691,2021
Seville,Kidnapping,5,2021
Seville,Crimes against freedom and sexual indemnity,600,2021
Seville,Sexual assault with penetration,38,2021
Seville,Other crimes against freedom and sexual indemnity,562,2021
Seville,Robbery with violence and intimidation,1937,2021
Seville,Burglaries with force in homes,4697,2021
Seville,Robberies with force in homes,2565,2021
Seville,Theft,18880,2021
Seville,Vehicle theft,1309,2021
Seville,Drug trafficking,642,2021
Seville,Other criminal offenses,48461,2021
Zaragoza,Intentional homicides and consummated murders,4,2021
Zaragoza,Intentional homicides and attempted murders,8,2021
Zaragoza,Serious and less serious crimes of injuries and riotous brawl,376,2021
Zaragoza,Kidnapping,2,2021
Zaragoza,Crimes against freedom and sexual indemnity,326,2021
Zaragoza,Sexual assault with penetration,41,2021
Zaragoza,Other crimes against freedom and sexual indemnity,285,2021
Zaragoza,Robbery with violence and intimidation,912,2021
Zaragoza,Burglaries with force in homes,1563,2021
Zaragoza,Robberies with force in homes,1044,2021
Zaragoza,Theft,7663,2021
Zaragoza,Vehicle theft,199,2021
Zaragoza,Drug trafficking,327,2021
Zaragoza,Other criminal offenses,21316,2021
Malaga,Intentional homicides and consummated murders,15,2021
Malaga,Intentional homicides and attempted murders,48,2021
Malaga,Serious and less serious crimes of injuries and riotous brawl,913,2021
Malaga,Kidnapping,13,2021
Malaga,Crimes against freedom and sexual indemnity,577,2021
Malaga,Sexual assault with penetration,49,2021
Malaga,Other crimes against freedom and sexual indemnity,528,2021
Malaga,Robbery with violence and intimidation,1388,2021
Malaga,Burglaries with force in homes,4154,2021
Malaga,Robberies with force in homes,2933,2021
Malaga,Theft,18720,2021
Malaga,Vehicle theft,1493,2021
Malaga,Drug trafficking,1078,2021
Malaga,Other criminal offenses,47803,2021
Barcelona,Intentional homicides and consummated murders,36,2020
Barcelona,Intentional homicides and attempted murders,108,2020
Barcelona,Serious and less serious crimes of injuries and riotous brawl,1598,2020
Barcelona,Kidnapping,3,2020
Barcelona,Crimes against freedom and sexual indemnity,1703,2020
Barcelona,Sexual assault with penetration,285,2020
Barcelona,Other crimes against freedom and sexual indemnity,1418,2020
Barcelona,Robbery with violence and intimidation,15249,2020
Barcelona,Burglaries with force in homes,4061,2020
Barcelona,Robberies with force in homes,10979,2020
Barcelona,Theft,92393,2020
Barcelona,Vehicle theft,5075,2020
Barcelona,Drug trafficking,2090,2020
Barcelona,Other criminal offenses,135216,2020
Madrid,Intentional homicides and consummated murders,38,2020
Madrid,Intentional homicides and attempted murders,98,2020
Madrid,Serious and less serious crimes of injuries and riotous brawl,2287,2020
Madrid,Kidnapping,10,2020
Madrid,Crimes against freedom and sexual indemnity,1976,2020
Madrid,Sexual assault with penetration,217,2020
Madrid,Other crimes against freedom and sexual indemnity,1759,2020
Madrid,Robbery with violence and intimidation,10688,2020
Madrid,Burglaries with force in homes,3234,2020
Madrid,Robberies with force in homes,7052,2020
Madrid,Theft,92213,2020
Madrid,Vehicle theft,6235,2020
Madrid,Drug trafficking,2470,2020
Madrid,Other criminal offenses,181917,2020
Valencia,Intentional homicides and consummated murders,14,2020
Valencia,Intentional homicides and attempted murders,53,2020
Valencia,Serious and less serious crimes of injuries and riotous brawl,892,2020
Valencia,Kidnapping,8,2020
Valencia,Crimes against freedom and sexual indemnity,779,2020
Valencia,Sexual assault with penetration,92,2020
Valencia,Other crimes against freedom and sexual indemnity,687,2020
Valencia,Robbery with violence and intimidation,2355,2020
Valencia,Burglaries with force in homes,1162,2020
Valencia,Robberies with force in homes,5077,2020
Valencia,Theft,24012,2020
Valencia,Vehicle theft,1257,2020
Valencia,Drug trafficking,907,2020
Valencia,Other criminal offenses,64822,2020
Murcia,Intentional homicides and consummated murders,10,2020
Murcia,Intentional homicides and attempted murders,41,2020
Murcia,Serious and less serious crimes of injuries and riotous brawl,645,2020
Murcia,Kidnapping,1,2020
Murcia,Crimes against freedom and sexual indemnity,505,2020
Murcia,Sexual assault with penetration,64,2020
Murcia,Other crimes against freedom and sexual indemnity,441,2020
Murcia,Robbery with violence and intimidation,1207,2020
Murcia,Burglaries with force in homes,400,2020
Murcia,Robberies with force in homes,3796,2020
Murcia,Theft,9925,2020
Murcia,Vehicle theft,726,2020
Murcia,Drug trafficking,389,2020
Murcia,Other criminal offenses,32819,2020
Seville,Intentional homicides and consummated murders,12,2020
Seville,Intentional homicides and attempted murders,64,2020
Seville,Serious and less serious crimes of injuries and riotous brawl,612,2020
Seville,Kidnapping,5,2020
Seville,Crimes against freedom and sexual indemnity,508,2020
Seville,Sexual assault with penetration,31,2020
Seville,Other crimes against freedom and sexual indemnity,477,2020
Seville,Robbery with violence and intimidation,1802,2020
Seville,Burglaries with force in homes,1223,2020
Seville,Robberies with force in homes,2966,2020
Seville,Theft,16081,2020
Seville,Vehicle theft,1458,2020
Seville,Drug trafficking,547,2020
Seville,Other criminal offenses,46704,2020
Zaragoza,Intentional homicides and consummated murders,2,2020
Zaragoza,Intentional homicides and attempted murders,26,2020
Zaragoza,Serious and less serious crimes of injuries and riotous brawl,303,2020
Zaragoza,Kidnapping,1,2020
Zaragoza,Crimes against freedom and sexual indemnity,225,2020
Zaragoza,Sexual assault with penetration,29,2020
Zaragoza,Other crimes against freedom and sexual indemnity,196,2020
Zaragoza,Robbery with violence and intimidation,728,2020
Zaragoza,Burglaries with force in homes,425,2020
Zaragoza,Robberies with force in homes,913,2020
Zaragoza,Theft,5765,2020
Zaragoza,Vehicle theft,158,2020
Zaragoza,Drug trafficking,245,2020
Zaragoza,Other criminal offenses,19358,2020
Malaga,Intentional homicides and consummated murders,8,2020
Malaga,Intentional homicides and attempted murders,41,2020
Malaga,Serious and less serious crimes of injuries and riotous brawl,691,2020
Malaga,Kidnapping,5,2020
Malaga,Crimes against freedom and sexual indemnity,458,2020
Malaga,Sexual assault with penetration,58,2020
Malaga,Other crimes against freedom and sexual indemnity,400,2020
Malaga,Robbery with violence and intimidation,1119,2020
Malaga,Burglaries with force in homes,689,2020
Malaga,Robberies with force in homes,3007,2020
Malaga,Theft,15265,2020
Malaga,Vehicle theft,1293,2020
Malaga,Drug trafficking,1045,2020
Malaga,Other criminal offenses,42372,2020
Barcelona,Intentional homicides and consummated murders,45,2019
Barcelona,Intentional homicides and attempted murders,142,2019
Barcelona,Serious and less serious crimes of injuries and riotous brawl,2389,2019
Barcelona,Kidnapping,2,2019
Barcelona,Crimes against freedom and sexual indemnity,2219,2019
Barcelona,Sexual assault with penetration,412,2019
Barcelona,Other crimes against freedom and sexual indemnity,1807,2019
Barcelona,Robbery with violence and intimidation,23836,2019
Barcelona,Burglaries with force in homes,23986,2019
Barcelona,Robberies with force in homes,16180,2019
Barcelona,Theft,165901,2019
Barcelona,Vehicle theft,8392,2019
Barcelona,Drug trafficking,1716,2019
Barcelona,Other criminal offenses,157525,2019
Madrid,Intentional homicides and consummated murders,32,2019
Madrid,Intentional homicides and attempted murders,78,2019
Madrid,Serious and less serious crimes of injuries and riotous brawl,2402,2019
Madrid,Kidnapping,16,2019
Madrid,Crimes against freedom and sexual indemnity,2221,2019
Madrid,Sexual assault with penetration,243,2019
